LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,TotalBsmtSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageCars,GrLivArea,SalePrice
8719,Sawyer,1Fam,1Story,3,1967,1967,TA,1793,2,3,TA,3,0,2134,261985
10650,NAmes,1Fam,1Story,10,1988,2004,TA,1882,3,2,Gd,0,2,1550,337135
10619,Edwards,1Fam,2Story,10,1949,1973,TA,1061,3,4,TA,1,3,2596,382474
10881,SawyerW,1Fam,1Story,8,1953,1962,Ex,0,2,4,Gd,1,2,2436,316289
5474,NAmes,1Fam,1Story,6,1942,1963,Ex,1440,2,4,TA,0,3,1384,281826
10923,OldTown,1Fam,2Story,4,1939,1954,Gd,40,2,3,Gd,0,2,2025,254882
7940,Gilbert,1Fam,1Story,8,1958,1973,Gd,1699,1,3,TA,0,3,1853,323325
16652,OldTown,1Fam,SFoyer,6,1916,1941,TA,1526,1,2,Gd,0,2,2233,301488
10577,SawyerW,1Fam,1Story,4,1901,1908,TA,1830,2,3,Gd,0,0,1008,192744
15029,CollgCr,1Fam,1Story,7,1975,2003,Gd,1164,2,5,TA,1,2,1875,295468
8510,SawyerW,1Fam,1Story,3,1947,1953,TA,890,3,3,Gd,1,0,2070,229590
8665,NridgHt,1Fam,1Story,9,1896,1923,TA,851,2,4,TA,1,2,591,241866
20892,NWAmes,1Fam,2Story,5,1891,1896,Gd,809,2,4,Fa,2,3,893,215786
12310,OldTown,1Fam,1Story,7,1997,2012,TA,1481,2,3,TA,0,1,444,203088
6923,NridgHt,1Fam,1Story,6,1901,1920,TA,1363,2,4,Ex,0,2,1373,258729
15498,SawyerW,1Fam,2Story,7,1999,2014,TA,1102,2,2,TA,1,2,1891,286439
7580,Somerst,1Fam,2Story,7,1929,1935,TA,732,2,2,TA,0,3,2303,338458
11079,Edwards,1Fam,1Story,5,1893,1901,TA,2206,2,2,TA,0,2,1553,265172
24793,NridgHt,1Fam,1Story,10,1908,1921,TA,1451,2,4,Ex,0,2,2370,391662
4838,NWAmes,1Fam,1Story,8,2004,2014,TA,347,1,3,TA,0,2,790,206250
9064,Somerst,1Fam,1Story,9,1886,1911,TA,822,2,3,TA,1,2,620,244520
12138,SawyerW,1Fam,1Story,9,1908,1933,Fa,1459,1,3,Gd,0,2,1485,300999
14506,OldTown,1Fam,2Story,7,1912,1925,TA,698,2,3,Gd,1,3,1716,268352
5320,Somerst,TwnhsE,1.5Fin,9,1990,1996,Gd,1204,2,4,Gd,0,2,1497,313285
4592,NWAmes,1Fam,1Story,4,1958,1958,TA,1468,1,4,TA,1,3,429,190881
17075,Sawyer,1Fam,1Story,5,1937,1962,TA,0,1,1,TA,0,0,1468,182738
6903,SawyerW,TwnhsE,1Story,3,1905,1929,Gd,1002,2,3,TA,1,2,830,178113
6760,SawyerW,TwnhsE,1Story,6,1908,1920,Fa,1019,2,4,Gd,0,3,1866,269786
21485,Somerst,1Fam,1Story,6,1883,1902,Gd,868,0,3,Gd,0,0,1707,240333
10248,NAmes,1Fam,SLvl,6,1978,1980,Gd,1182,2,4,Fa,1,3,1021,226638
10281,NAmes,1Fam,2Story,8,1918,1937,TA,1339,1,3,Fa,0,2,1245,242083
9046,NWAmes,1Fam,SFoyer,6,1894,1897,TA,1112,3,3,TA,0,2,958,218157
5366,SawyerW,1Fam,1.5Fin,6,1998,2026,Ex,885,3,3,TA,0,3,1482,289659
13875,CollgCr,1Fam,1Story,7,1908,1933,TA,1328,2,3,Gd,2,2,2016,313826
12145,CollgCr,1Fam,2Story,5,1954,1964,TA,1071,2,4,TA,0,1,997,193335
10768,NAmes,Duplex,1Story,8,1995,1996,Ex,948,2,3,Gd,1,2,1779,338181
9337,SawyerW,Duplex,1Story,4,1911,1924,Fa,472,2,4,Gd,0,2,1236,181221
8551,OldTown,1Fam,1.5Fin,10,2009,2020,TA,362,1,4,TA,0,3,1098,259740
15618,Edwards,1Fam,1Story,8,1963,1992,TA,464,1,3,Gd,0,2,1458,260766
9222,NridgHt,1Fam,1.5Fin,5,1901,1917,TA,1172,1,4,Ex,2,2,971,211307
9585,SawyerW,TwnhsE,1Story,1,1906,1917,TA,1015,2,3,Gd,0,2,1224,144783
12899,Sawyer,1Fam,1.5Fin,8,1960,1985,Gd,398,1,3,Gd,0,2,886,212295
10981,Gilbert,1Fam,SLvl,8,2005,2016,Gd,1334,2,4,TA,0,2,2546,368825
22497,CollgCr,1Fam,2Story,8,1971,1971,TA,1654,3,3,Gd,0,2,1533,307557
4102,NridgHt,1Fam,2Story,8,1900,1912,TA,786,2,4,Gd,0,3,1147,285246
11498,NWAmes,1Fam,1Story,4,1926,1939,Ex,283,2,3,Gd,1,2,1627,231347
6954,SawyerW,1Fam,1.5Fin,6,1980,2003,TA,737,2,4,Ex,0,2,1456,215804
6179,CollgCr,1Fam,SLvl,4,1963,1992,TA,1425,2,4,Gd,0,1,1398,204635
7875,NAmes,1Fam,2Story,9,1885,1886,Gd,1291,2,4,TA,1,1,1837,298441
10171,NAmes,1Fam,2Story,7,2010,2021,Ex,644,2,4,Gd,0,1,1912,300479
10399,Edwards,1Fam,2Story,6,1880,1905,Gd,1719,3,4,TA,0,1,1236,231672
4634,SawyerW,Twnhs,1.5Fin,3,1937,1957,TA,1643,1,3,Fa,0,2,1212,197846
7551,NAmes,Duplex,2Story,6,2003,2030,Gd,727,2,4,TA,1,2,1370,261293
11391,Somerst,2fmCon,1.5Fin,6,1894,1909,Gd,722,2,3,Ex,0,2,400,182393
6383,OldTown,TwnhsE,2Story,8,1943,1946,TA,789,1,3,Gd,1,3,719,232926
5668,NAmes,1Fam,1Story,7,1904,1911,TA,826,3,3,TA,0,4,2232,291497
3203,Somerst,1Fam,1Story,9,1903,1904,Gd,1468,1,5,TA,1,3,2378,342739
7103,OldTown,1Fam,1Story,7,1891,1900,Gd,1237,2,3,TA,0,2,1384,223528
5570,Edwards,Twnhs,1Story,4,1897,1905,TA,1435,1,3,TA,1,2,1817,243746
6051,NWAmes,1Fam,1Story,8,1894,1916,TA,1346,2,3,TA,1,2,1678,274213
8639,NridgHt,1Fam,2Story,8,1906,1920,TA,1804,2,4,TA,1,1,3131,387932
7332,NAmes,TwnhsE,1Story,7,1951,1963,TA,583,2,4,TA,0,2,2102,253642
5524,SawyerW,1Fam,1Story,8,1939,1961,Gd,1217,2,3,Gd,0,3,1447,276318
3436,Sawyer,1Fam,2Story,7,1972,1988,Gd,93,1,3,Fa,0,3,1013,239319
11512,SawyerW,1Fam,SLvl,7,1932,1961,Gd,470,2,4,TA,0,2,671,176945
14420,NAmes,1Fam,2Story,6,1887,1902,Gd,1017,1,3,Ex,0,2,1621,238155
8116,NAmes,1Fam,SFoyer,2,1958,1985,TA,1234,2,3,TA,1,3,1117,213239
8665,NAmes,1Fam,2Story,4,1906,1907,Gd,1005,2,4,TA,0,1,768,184865
9911,CollgCr,1Fam,1Story,3,1929,1948,Gd,800,2,4,TA,0,2,1175,182270
21794,Somerst,2fmCon,2Story,7,2010,2029,Fa,878,2,2,TA,1,3,947,276664
4519,SawyerW,1Fam,2Story,6,1972,1998,Gd,1652,2,4,Gd,1,2,2400,329534
8044,Somerst,1Fam,1Story,7,1903,1916,Gd,881,2,4,Fa,0,1,1977,284161
4183,OldTown,1Fam,1Story,9,1939,1941,Gd,1819,2,3,TA,1,2,1510,322115
11862,Gilbert,1Fam,2Story,5,2001,2023,TA,1399,2,6,TA,0,3,2291,308588
9209,NAmes,1Fam,1Story,6,2010,2021,TA,1251,1,4,Gd,1,2,1555,274129
10954,Gilbert,1Fam,2Story,8,1925,1932,Gd,524,1,4,Gd,1,2,1062,236305
10684,Gilbert,1Fam,1Story,5,1894,1895,TA,1461,1,4,TA,1,2,2314,250310
16241,SawyerW,1Fam,2Story,4,1896,1899,TA,832,2,3,Gd,1,2,1797,216411
12952,SawyerW,1Fam,2Story,6,2005,2018,TA,524,1,3,Gd,0,2,970,194145
14991,OldTown,1Fam,1Story,5,1963,1978,TA,1275,2,3,TA,0,3,1415,238022
5809,NridgHt,1Fam,1Story,9,1888,1906,TA,439,1,3,TA,1,1,1055,264228
17972,SawyerW,1Fam,2Story,8,1942,1943,TA,714,1,3,Gd,0,3,789,231602
6896,SawyerW,1Fam,1.5Fin,7,1996,2007,Gd,1045,2,5,Gd,1,0,2001,286420
7097,Somerst,Twnhs,1.5Fin,9,2009,2037,Gd,2026,2,4,Gd,0,2,2517,411742
11332,SawyerW,1Fam,1Story,8,1967,1980,Ex,747,1,4,TA,0,0,780,206791
11509,NAmes,1Fam,2Story,5,1951,1956,TA,848,2,4,Gd,0,2,1810,237828
5791,SawyerW,1Fam,1Story,9,1943,1955,TA,1372,1,4,Ex,0,2,1173,248232
9075,NAmes,1Fam,1Story,7,1951,1954,TA,505,2,3,TA,1,2,1259,235151
20829,NridgHt,1Fam,1Story,8,1900,1921,Ex,1244,2,3,Fa,1,1,1203,321141
4749,SawyerW,1Fam,2Story,9,1897,1914,TA,1580,1,3,TA,1,2,1061,256251
20797,OldTown,1Fam,1Story,6,1943,1954,TA,914,2,4,Gd,1,0,1540,238596
8770,Somerst,1Fam,1Story,4,1961,1980,TA,1501,2,3,Gd,1,3,1078,233108
3075,OldTown,1Fam,2Story,5,1989,2015,TA,1178,2,4,TA,1,3,1656,251803
4997,SawyerW,1Fam,2Story,6,1974,1995,TA,728,1,2,Gd,0,2,1488,214342
6113,SawyerW,1Fam,1Story,8,1911,1940,TA,962,1,4,TA,1,2,1389,251856
7244,NWAmes,1Fam,1Story,9,1890,1910,TA,882,3,4,Gd,0,2,1038,233871
9392,Gilbert,2fmCon,1Story,1,1924,1942,TA,1011,2,4,Gd,0,0,1212,128980
2561,SawyerW,1Fam,1Story,7,1912,1919,Gd,1117,2,5,TA,1,2,1911,280208
10866,Edwards,1Fam,2Story,6,1981,1987,Ex,1308,2,4,TA,0,3,1777,282540
5839,Somerst,1Fam,1Story,5,1890,1905,TA,1273,2,5,TA,0,2,1001,224798
19836,NWAmes,1Fam,2Story,4,1967,1985,Gd,0,1,5,Gd,0,1,1567,213853
8646,Edwards,1Fam,1.5Fin,6,1920,1925,Fa,1007,1,4,Gd,0,3,1909,261509
15857,NAmes,1Fam,1Story,10,1955,1974,Gd,385,2,4,TA,2,2,638,235814
17243,NAmes,1Fam,SFoyer,6,2000,2026,TA,928,1,1,TA,0,3,1800,267173
17011,NAmes,1Fam,1Story,7,1925,1945,Gd,995,1,3,Gd,0,2,1167,243344
7456,SawyerW,TwnhsE,1Story,8,1959,1969,Gd,1479,0,4,Ex,0,2,1814,289171
7408,Somerst,1Fam,1Story,6,1933,1937,TA,1036,2,3,Gd,0,1,1114,200404
8844,NWAmes,1Fam,1Story,10,1965,1980,Gd,1164,2,3,Fa,2,1,567,242492
13603,Edwards,Twnhs,1Story,10,1971,1977,Gd,1398,1,5,TA,0,4,660,280970
7666,OldTown,TwnhsE,1Story,5,1976,2002,Gd,1590,1,5,TA,1,2,1540,237119
9324,Edwards,1Fam,2Story,7,1881,1885,TA,995,1,4,Gd,1,4,1651,278410
11348,SawyerW,1Fam,1.5Fin,6,1912,1922,Gd,1091,2,3,Fa,2,2,1040,241100
6295,Gilbert,Twnhs,2Story,6,1956,1970,TA,1054,2,1,Gd,1,1,1850,245774
6099,SawyerW,1Fam,1Story,3,1995,1997,TA,811,2,2,TA,1,1,642,167766
9144,Sawyer,1Fam,2Story,7,1982,2007,TA,711,2,3,TA,0,2,1480,260693
9770,Gilbert,1Fam,2Story,7,1982,1986,TA,50,2,1,Gd,0,3,879,210236
12294,Gilbert,1Fam,1.5Fin,3,1969,1991,TA,576,2,1,Gd,0,2,1172,181065
13848,SawyerW,1Fam,1.5Fin,6,2001,2021,Gd,267,2,5,Gd,1,2,1539,251256
5712,SawyerW,1Fam,1.5Fin,9,1985,1989,TA,1602,1,4,Gd,0,2,1063,258096
6594,NAmes,1Fam,1Story,5,1998,2006,Gd,1132,1,3,TA,0,1,1313,208282
6091,NridgHt,1Fam,2Story,5,1928,1942,TA,994,1,3,TA,0,2,2043,290846
20054,Sawyer,1Fam,1Story,7,1983,1985,Gd,734,1,3,TA,0,1,1212,238530
9319,NWAmes,TwnhsE,SFoyer,10,1940,1968,TA,1063,3,1,TA,0,3,1953,328600
9977,CollgCr,Duplex,1Story,5,2002,2007,TA,676,2,5,TA,2,2,921,198432
10187,SawyerW,1Fam,1Story,8,1888,1904,Gd,1126,1,3,Ex,0,2,1793,274253
6919,SawyerW,1Fam,1Story,8,1885,1910,TA,1158,2,3,Gd,1,2,2271,334741
21636,CollgCr,1Fam,2Story,5,1952,1972,TA,670,2,3,Fa,1,2,400,170311
12155,SawyerW,1Fam,1Story,8,1982,1989,Gd,662,1,2,Gd,0,4,1096,281585
10094,NAmes,1Fam,1Story,6,1920,1940,TA,1473,2,4,TA,0,2,1817,265358
5695,NAmes,1Fam,SLvl,7,1993,2017,TA,1026,2,4,Gd,0,1,1408,251661
5536,NAmes,Duplex,SLvl,7,1887,1897,Fa,706,2,4,TA,0,2,1709,253141
8480,NAmes,1Fam,1Story,7,1951,1956,TA,886,1,3,TA,1,1,1197,224686
6974,SawyerW,1Fam,1Story,4,1971,1978,Gd,605,1,4,Gd,0,0,1560,193488
5803,NAmes,1Fam,1.5Fin,8,1941,1950,Gd,1020,2,4,Gd,0,4,1433,281705
8221,OldTown,1Fam,1.5Fin,6,1963,1986,TA,1415,1,4,TA,1,3,2128,284696
8882,NAmes,1Fam,2Story,5,1941,1969,TA,1037,2,3,Gd,2,4,1648,285306
10624,OldTown,1Fam,2Story,3,1990,1992,Gd,2089,2,3,Gd,1,2,1692,246391
7692,NAmes,1Fam,1Story,7,2006,2028,Gd,1235,1,4,TA,1,2,1298,246051
5980,Sawyer,TwnhsE,1.5Fin,8,1886,1899,TA,1151,3,4,Gd,1,1,1259,221800
6084,CollgCr,1Fam,2Story,2,1963,1985,Gd,650,2,3,TA,0,2,1287,170558
18151,SawyerW,2fmCon,2Story,7,1937,1950,Gd,945,1,3,TA,1,3,1722,298152
5292,SawyerW,1Fam,1Story,5,1901,1910,Gd,707,2,3,Gd,0,2,1293,214998
11867,NAmes,1Fam,SLvl,7,2006,2017,Gd,97,2,4,TA,1,3,1667,268951
12832,SawyerW,1Fam,2Story,5,1882,1887,Gd,1478,2,3,TA,1,2,2604,309960
9314,NAmes,1Fam,1Story,8,2006,2017,TA,824,1,5,Gd,0,1,1972,267413
23954,CollgCr,1Fam,2Story,6,1920,1942,Gd,715,3,3,Gd,1,2,1343,247247
12719,NAmes,1Fam,2Story,9,1985,1998,Gd,1142,2,5,Gd,2,2,2145,356572
24870,Edwards,1Fam,2Story,4,1893,1894,Gd,1275,1,4,Gd,0,2,1300,237616
7147,NridgHt,1Fam,2Story,6,1891,1899,TA,908,1,3,Gd,1,3,444,196298
7208,SawyerW,1Fam,2Story,4,1966,1975,Gd,1048,1,4,Gd,0,2,985,214388
12884,Edwards,1Fam,SLvl,9,1891,1916,TA,1378,2,2,Gd,1,1,532,234492
8684,NWAmes,1Fam,1Story,9,1904,1920,TA,891,1,5,TA,1,2,1330,271319
22990,CollgCr,1Fam,1Story,5,1924,1940,Ex,1183,1,4,TA,1,4,1524,282620
11741,NWAmes,1Fam,1Story,7,2001,2003,Ex,319,2,2,TA,2,1,2395,341094
5870,CollgCr,Twnhs,2Story,8,1934,1963,Ex,503,1,4,TA,1,3,1686,311212
4153,CollgCr,1Fam,2Story,7,1979,1997,TA,1316,1,5,TA,1,2,1399,248526
9517,CollgCr,1Fam,1.5Fin,7,1998,1998,TA,480,1,2,TA,0,3,1950,271760
9465,CollgCr,1Fam,2Story,5,1932,1943,Ex,1153,1,3,TA,2,2,400,186069
11578,NridgHt,1Fam,2Story,4,1911,1917,TA,985,1,4,Gd,0,2,1638,227433
18130,SawyerW,1Fam,SFoyer,9,1930,1933,Gd,889,2,4,TA,1,2,1919,306502
16976,NAmes,TwnhsE,1Story,9,1923,1932,TA,685,1,3,Ex,0,3,738,220903
7409,NWAmes,Twnhs,1.5Fin,7,1961,1973,TA,1450,1,3,Gd,0,2,2115,294712
5182,Sawyer,1Fam,1Story,6,1916,1917,TA,1811,2,2,TA,1,2,1692,257856
5339,SawyerW,1Fam,2Story,6,1975,1984,TA,1182,2,4,Gd,0,1,1296,228612
6847,OldTown,1Fam,2Story,8,1935,1955,TA,1191,2,3,Gd,0,3,1847,286227
8238,Somerst,1Fam,2Story,9,1984,2005,TA,749,2,5,TA,0,2,2707,350301
11527,SawyerW,1Fam,1Story,9,1938,1962,TA,523,1,2,TA,0,3,1610,269774
6631,Sawyer,1Fam,1Story,8,2010,2013,TA,1032,2,4,TA,0,1,1645,266893
11386,Edwards,1Fam,2Story,7,1914,1931,Gd,621,2,2,TA,0,2,1273,232537
11861,CollgCr,TwnhsE,1.5Fin,4,1972,1976,Gd,270,2,3,Gd,0,2,1068,181626
10632,OldTown,1Fam,1Story,5,1976,1994,TA,1403,2,3,Ex,0,2,1950,263901
5629,Gilbert,1Fam,SLvl,9,1955,1956,TA,1424,0,3,TA,1,2,1065,244895
12505,NWAmes,Duplex,1Story,7,1928,1939,TA,672,2,4,Gd,0,0,1552,214189
28018,NAmes,1Fam,2Story,1,1973,1989,TA,1157,1,5,TA,2,2,1264,209658
11191,Gilbert,Twnhs,2Story,4,1903,1912,TA,1490,2,4,Gd,1,2,1766,250306
2260,NridgHt,1Fam,2Story,7,1916,1917,TA,1140,2,5,TA,0,1,1690,286022
18406,NridgHt,1Fam,SLvl,1,1883,1888,TA,525,2,5,TA,1,2,2059,218239
6964,Sawyer,Twnhs,2Story,5,1987,1994,TA,947,1,4,TA,1,2,1247,209986
30725,SawyerW,1Fam,2Story,7,2005,2033,Gd,1633,2,4,TA,2,0,1373,308274
10490,OldTown,1Fam,1Story,8,1899,1917,Gd,1158,2,4,TA,1,3,1001,244242
4262,SawyerW,1Fam,1Story,7,1929,1939,TA,1287,2,2,Gd,0,3,1281,253156
3525,CollgCr,1Fam,1Story,5,1975,1999,Gd,1200,2,4,Gd,1,2,1713,266920
21372,CollgCr,1Fam,2Story,8,1984,1995,TA,673,2,2,Gd,1,1,1912,301601
17204,OldTown,TwnhsE,1Story,5,1996,2004,Ex,776,2,4,Gd,1,3,1030,263138
30121,NAmes,Duplex,1Story,6,1977,1978,Ex,1199,1,4,Gd,0,2,1971,327651
9951,CollgCr,Duplex,1Story,8,1945,1952,TA,1409,2,2,TA,1,2,2226,322569
9621,NAmes,1Fam,1Story,7,1958,1983,TA,1533,1,3,Gd,2,2,1732,283406
8173,SawyerW,1Fam,1Story,9,1885,1895,Gd,672,3,5,TA,0,2,2500,325037
7121,CollgCr,1Fam,1.5Fin,7,1918,1945,TA,1240,2,4,TA,0,2,1108,215434
8133,NWAmes,TwnhsE,2Story,7,1994,2014,TA,1572,3,3,Gd,0,2,861,226142
11033,NAmes,1Fam,2Story,4,2004,2007,TA,615,1,4,Gd,1,2,581,171679
6490,SawyerW,1Fam,2Story,6,1891,1900,Gd,1704,2,4,Gd,1,3,2300,329283
4295,NWAmes,1Fam,1Story,5,2010,2030,TA,1771,2,3,TA,1,2,1858,276870
10720,NAmes,1Fam,1.5Fin,5,1897,1916,TA,2205,2,5,Gd,0,2,1485,271124
6418,SawyerW,1Fam,1Story,10,1919,1934,Gd,1151,2,4,Gd,1,3,1661,315366
1959,NridgHt,Duplex,1Story,6,1900,1907,TA,1154,1,3,TA,0,2,924,193437
13046,SawyerW,Duplex,2Story,9,1978,1981,TA,1413,2,4,Gd,1,2,2799,385683
5687,NridgHt,1Fam,1Story,7,1905,1933,TA,1401,2,5,TA,1,2,1582,284210
13778,Sawyer,1Fam,2Story,8,1887,1896,TA,1545,1,2,TA,2,2,1572,292158
13614,SawyerW,2fmCon,1Story,7,1979,1990,Gd,1394,1,3,TA,2,3,1896,305018
11404,Edwards,1Fam,2Story,7,1966,1994,Gd,1003,3,3,Ex,2,2,1767,307498
34489,NAmes,1Fam,1Story,7,1921,1934,TA,1587,2,4,TA,0,4,1632,307577
9237,SawyerW,1Fam,1Story,5,1893,1908,TA,578,3,4,TA,0,1,1100,183685
8579,Edwards,1Fam,2Story,8,1957,1978,TA,1052,2,4,Gd,1,0,1762,278160
13930,NridgHt,1Fam,1Story,6,1881,1898,TA,1738,1,5,Gd,2,2,2503,348057
9626,NAmes,1Fam,1Story,2,1998,2018,Gd,499,1,4,Gd,0,2,2221,233510
17681,NridgHt,1Fam,1Story,7,1916,1937,Ex,751,1,2,TA,0,2,2351,326608
5247,SawyerW,1Fam,2Story,5,1948,1968,TA,1345,0,3,TA,0,2,1246,213250
5291,OldTown,2fmCon,2Story,10,1920,1931,Ex,1223,2,3,TA,1,2,995,290595
14514,Edwards,TwnhsE,1Story,10,1941,1958,TA,664,1,3,TA,0,0,1448,243732
5528,Sawyer,TwnhsE,SLvl,9,1939,1968,Gd,866,2,4,Ex,0,4,1544,286249
13420,SawyerW,1Fam,1.5Fin,6,2004,2010,TA,530,3,5,Ex,0,2,2089,294921
11908,Somerst,1Fam,2Story,2,1990,2009,Gd,1481,2,3,TA,0,2,626,193086
6993,OldTown,1Fam,2Story,9,1893,1916,TA,937,2,3,TA,1,3,2318,300676
11891,SawyerW,Twnhs,1Story,6,1963,1985,TA,1838,2,4,Gd,0,3,1432,277263
5338,Sawyer,1Fam,2Story,10,2009,2015,Ex,1085,1,3,TA,1,0,1290,284773
6003,NAmes,1Fam,1Story,10,1949,1957,Ex,953,1,3,TA,1,3,983,288085
8790,NAmes,1Fam,1Story,9,2002,2002,Gd,910,1,3,TA,1,2,646,241899
10295,Somerst,1Fam,SFoyer,6,1968,1993,TA,942,1,2,TA,0,2,1947,271884
8503,CollgCr,1Fam,2Story,6,1907,1912,Gd,1098,2,5,TA,2,2,1553,272487
12290,OldTown,2fmCon,1Story,9,1945,1950,TA,2155,1,2,Gd,1,3,837,243900
12018,SawyerW,TwnhsE,1Story,6,1884,1905,Fa,900,1,3,TA,3,2,835,206903
21262,NAmes,1Fam,2Story,5,1924,1952,TA,915,2,3,Gd,2,2,1338,248269
9436,NWAmes,2fmCon,1Story,7,1926,1937,Gd,1078,3,6,TA,0,2,2391,310148
17984,OldTown,1Fam,1Story,9,1910,1931,TA,1529,2,3,Gd,0,3,1378,298335
15683,SawyerW,1Fam,1Story,8,1889,1900,Gd,424,2,2,TA,0,4,725,218258
31163,NWAmes,1Fam,1Story,7,1997,2006,TA,1250,1,1,TA,1,2,1385,278950
9287,NAmes,1Fam,2Story,4,1893,1915,TA,690,2,3,Gd,0,4,1371,196567
8021,NridgHt,1Fam,1Story,7,1959,1988,TA,1293,2,3,Gd,0,1,400,232944
18561,CollgCr,Twnhs,2Story,10,1972,1997,Gd,832,2,4,Fa,0,0,1486,272159
12000,SawyerW,1Fam,1Story,5,1889,1894,Gd,36,3,3,Fa,0,0,1393,207904
18785,SawyerW,1Fam,2Story,7,1955,1971,Gd,1212,1,2,Gd,0,2,1880,292618
14163,Somerst,1Fam,SFoyer,9,1973,1991,TA,1208,3,4,Fa,0,2,2485,375873
3451,Somerst,TwnhsE,2Story,8,1984,2001,Gd,795,2,3,TA,0,1,2106,316275
11946,OldTown,1Fam,1.5Fin,8,1880,1885,Fa,769,0,3,TA,0,0,1373,202596
11563,NWAmes,1Fam,SLvl,8,1899,1922,TA,472,2,3,Ex,1,3,934,217453
10578,Edwards,1Fam,1Story,6,1887,1905,TA,1390,3,5,TA,0,3,2866,345452
9263,OldTown,1Fam,2Story,6,1880,1889,Gd,1438,1,3,TA,1,3,1546,245631
4464,Somerst,1Fam,1.5Fin,8,1936,1959,TA,663,2,5,TA,1,3,1522,267455
15322,NAmes,1Fam,1Story,8,1943,1950,TA,812,3,4,TA,0,2,1502,282264
11930,NWAmes,1Fam,1Story,9,1997,2017,TA,1022,2,2,TA,0,1,1618,288970
17171,NAmes,1Fam,SLvl,9,1907,1930,Gd,2049,1,6,TA,1,2,1439,329716
4585,Sawyer,TwnhsE,2Story,7,2000,2005,Gd,1289,2,3,Gd,2,2,1213,270956
12753,CollgCr,1Fam,1Story,7,1986,2006,Ex,634,1,2,Gd,1,2,1227,253830
8801,CollgCr,1Fam,1Story,8,1928,1952,TA,1183,2,4,Gd,1,2,1497,272817
